Pclass,Sex,Age_clean,Family_cnt,Fare_clean_tr,Cabin_ind,Title
2,1,62.0,0,1.6004343344404717,0,11
3,1,8.0,5,1.96269667532106,0,7
3,1,32.0,0,2.2408007055327177,0,11
3,0,20.0,1,1.5793068236286465,0,8
2,0,28.0,0,1.6702776523348104,0,8
3,0,21.0,0,1.5061226525730975,0,8
3,1,37.0,2,1.5128638802220769,0,11
3,0,17.0,0,1.7061744981851188,0,8
3,0,29.69911764705882,0,1.5061226525730975,0,8
1,1,46.0,1,2.2767471185469237,1,11
3,1,29.69911764705882,0,1.7210575366331091,0,11
3,1,24.0,0,1.5176064932892266,0,11
1,1,29.0,1,2.3157669197586563,1,11
1,0,56.0,1,2.4209238028779256,1,12
2,1,31.0,2,2.0589708774988282,0,11
3,1,29.69911764705882,0,1.5061226525730975,0,11
2,1,32.0,1,1.9186451916253064,0,11
3,1,33.0,2,1.8300233586613717,0,11
3,1,59.0,0,1.4861669577303998,0,11
1,0,58.0,0,1.926694710508685,1,8
3,0,29.69911764705882,1,1.7432720823741534,0,12
2,0,3.0,3,2.1075370871655457,0,8
3,1,29.69911764705882,0,1.5117473912278288,0,11
1,0,16.0,1,2.252446288892745,1,8
3,0,45.0,5,1.9459014453829317,0,12
1,0,43.0,1,2.9173955295624148,1,12
1,0,30.0,0,2.5433652414675887,0,8
3,1,28.5,0,1.7432720823741534,0,11
3,1,24.0,0,1.5078985992178089,0,11
2,1,30.0,0,1.6702776523348104,0,11
1,1,36.0,0,2.0925845238681964,1,11
3,1,25.0,0,1.4778754110912282,0,11
3,0,29.69911764705882,2,1.5061226525730975,0,8
1,0,50.0,0,1.9571053387299904,1,8
3,0,0.75,3,1.8068561969239882,0,8
1,0,24.0,0,2.1823701323690363,1,9
2,0,24.0,3,2.3045316198021406,0,8
1,0,35.0,1,2.2039445754429603,0,12
1,0,30.0,0,2.4400752592578163,1,8
2,1,23.0,0,1.6702776523348104,0,11
3,1,29.69911764705882,0,1.5117473912278288,0,11
2,1,27.0,0,1.9186451916253064,0,11
2,0,55.0,0,1.7411011265922482,0,12
1,0,35.0,1,2.213191044542816,1,12
3,1,29.69911764705882,0,1.469749413897551,0,11
1,0,29.69911764705882,0,2.397425036114708,0,12
3,1,29.69911764705882,1,1.8199575509815569,0,11
2,0,23.0,0,1.6901434253228618,1,12
3,0,29.69911764705882,0,1.5054730020960585,0,8
1,0,23.0,1,2.575293989068137,1,8
3,1,51.0,0,1.5176064932892266,0,11
2,0,33.0,2,1.9186451916253064,0,12
3,0,29.0,4,1.8397275698182904,0,12
3,1,29.69911764705882,0,1.5117473912278288,0,11
3,1,29.69911764705882,10,2.3359278624155344,0,11
2,0,2.0,2,1.9186451916253064,0,8
2,0,14.0,1,1.9752815008003481,0,12
2,1,54.0,1,1.9186451916253064,0,14
3,0,15.0,0,1.516821427682057,0,8
1,0,22.0,1,2.2288073840335185,1,8
2,1,27.0,0,1.6702776523348104,0,11
3,1,29.69911764705882,0,1.5117473912278288,0,11
1,1,29.69911764705882,0,2.0870797156498897,0,3
2,0,28.0,1,1.888175022589804,0,12
3,1,39.0,0,1.5128638802220769,0,11
2,1,2.0,2,1.9186451916253064,1,7
3,1,24.0,1,1.7432720823741534,0,11
3,1,32.0,0,1.5117473912278288,0,11
3,1,45.5,0,1.4851405983548165,0,11
2,0,8.0,2,1.92232078407926,0,8
3,1,26.0,3,1.8309140981238017,0,11
1,0,29.0,0,2.9173955295624148,1,8
2,0,45.0,2,1.92232078407926,0,12
3,0,36.0,1,1.77055674308707,0,12
1,1,29.69911764705882,0,1.9186451916253064,1,11
3,0,4.0,2,1.8560222721344488,0,8
2,1,16.0,0,1.9186451916253064,0,11
1,1,58.0,0,1.970385894621976,1,11
3,1,40.5,2,1.7071575395958585,0,11
3,1,25.0,0,1.5022156669730249,1,11
3,1,29.69911764705882,0,1.5117473912278288,0,11
3,1,51.0,0,1.4780514564280194,0,11
2,1,29.69911764705882,0,0.0,0,11
3,0,17.0,6,1.5128638802220769,0,8
3,1,29.69911764705882,0,1.4736588647118656,0,11
3,1,40.0,2,1.7300806134344884,0,11
3,1,25.0,0,0.0,0,11
1,1,47.0,0,1.9125181754898144,1,11
1,1,29.69911764705882,0,1.926694710508685,1,11
2,1,44.0,1,1.9186451916253064,0,11
1,0,23.0,5,3.014685687666117,1,8
2,1,18.0,0,1.629819719346329,0,11
2,1,29.0,1,1.838416287252544,0,11
3,1,12.0,1,1.6224316067712792,0,7
3,1,11.0,0,1.7979342213128344,0,11
3,0,22.0,0,1.5061226525730975,0,8
2,1,19.0,0,1.6004343344404717,0,11
3,1,22.0,1,1.4861669577303998,0,11
3,1,33.0,0,1.5117473912278288,0,11
1,1,56.0,0,1.926694710508685,0,11
2,1,1.0,2,2.0589708774988282,0,7
3,1,22.0,0,1.5078985992178089,0,11
3,1,29.69911764705882,0,1.4853132250847014,0,11
3,1,29.69911764705882,0,1.5061226525730975,0,11
3,1,7.0,5,1.96269667532106,0,7
3,0,4.0,1,1.6808507094662857,0,8
3,1,65.0,0,1.5061226525730975,0,11
2,1,18.0,0,1.6702776523348104,0,11
3,1,20.0,2,1.7354428893282614,0,11
2,1,24.0,2,2.3618780376616875,0,11
3,1,29.69911764705882,0,1.4851405983548165,0,11
2,0,34.0,0,1.6004343344404717,1,12
3,0,29.69911764705882,0,1.5061226525730975,0,8
1,0,31.0,2,2.7760455575207867,1,8
3,1,30.0,0,1.5117473912278288,0,11
2,1,18.0,0,1.629819719346329,0,11
3,0,9.0,5,1.9459014453829317,0,8
1,0,39.0,2,2.400143212074232,1,12
1,0,33.0,1,2.213191044542816,1,12
1,1,65.0,2,2.345587668505003,1,0
1,0,24.0,0,2.334246127149304,1,10
1,0,58.0,1,2.7365315134405868,1,12
3,1,21.0,0,1.5101510578167705,0,11
1,0,17.0,1,2.5550863153165126,1,12
3,0,28.0,2,1.7047963168076516,0,12
1,0,24.0,0,2.4209238028779256,1,8
3,1,29.69911764705882,0,1.4851405983548165,0,11
3,1,29.69911764705882,1,1.7300806134344884,0,11
3,1,42.0,0,1.5400281152322484,0,11
3,1,18.0,1,1.4538731930737308,0,11
3,0,2.0,1,1.6515537262265718,0,8
2,0,34.0,0,1.6702776523348104,0,8
3,1,3.0,6,1.9922844494899752,0,7
1,0,58.0,0,2.7113142476834304,1,8
3,1,32.0,0,1.5061226525730975,0,11
3,1,31.0,0,1.5128638802220769,0,11
3,1,29.69911764705882,0,1.5070930932320792,0,11
2,0,27.0,1,1.6917726190061628,0,8
3,1,11.0,7,2.1589101519708302,0,7
2,1,23.0,0,1.6702776523348104,0,11
1,1,40.0,0,0.0,1,11
3,1,29.69911764705882,0,1.4853132250847014,0,11
3,0,28.0,0,1.5117473912278288,0,8
2,0,28.0,0,1.6702776523348104,0,13
3,1,29.69911764705882,1,1.8199575509815569,0,11
3,1,19.0,0,1.59027057377503,0,11
3,0,30.0,2,1.8905293628517983,0,12
