CustomerID,Gender,Age,Income,SpendingScore
1,Male,19,15000,39
2,Male,21,15000,81
3,Female,20,16000,6
4,Female,23,16000,77
5,Female,31,17000,40
6,Female,22,17000,76
7,Female,35,18000,6
8,Female,23,18000,94
9,Male,64,19000,3
10,Female,30,19000,72
11,Male,67,19000,14
12,Female,35,19000,99
13,Female,58,20000,15
14,Female,24,20000,77
15,Male,37,20000,13
16,Male,22,20000,79
17,Female,35,21000,35
18,Male,20,21000,66
19,Male,52,23000,29
20,Female,35,23000,98
21,Male,35,24000,35
22,Male,25,24000,73
23,Female,46,25000,5
24,Male,31,25000,73
25,Female,54,28000,14
26,Male,29,28000,82
27,Female,45,28000,32
28,Male,35,28000,61
29,Female,40,29000,31
30,Female,23,29000,87
31,Male,60,30000,4
32,Female,21,30000,73
33,Male,53,33000,4
34,Male,18,33000,92
35,Female,49,33000,14
36,Female,21,33000,81
37,Female,42,34000,17
38,Female,30,34000,73
39,Female,36,37000,26
40,Female,20,37000,75
41,Female,65,38000,35
42,Male,24,38000,92
43,Male,48,39000,36
44,Female,31,39000,61
45,Female,49,39000,28
46,Female,24,39000,65
47,Female,50,40000,55
48,Female,27,40000,47
49,Female,29,40000,42
50,Female,31,40000,42
51,Female,49,42000,52
52,Male,33,42000,60
53,Female,31,43000,54
54,Male,59,43000,60
55,Female,50,43000,45
56,Male,47,43000,41
57,Female,51,44000,50
58,Male,69,44000,46
59,Female,27,46000,51
60,Male,53,46000,46
61,Male,70,46000,56
62,Male,19,46000,55
63,Female,67,47000,52
64,Female,54,47000,59
65,Male,63,48000,51
66,Male,18,48000,59
67,Female,43,48000,50
68,Female,68,48000,48
69,Male,19,48000,59
70,Female,32,48000,47
71,Male,70,49000,55
72,Female,47,49000,42
73,Female,60,50000,49
74,Female,60,50000,56
75,Male,59,54000,47
76,Male,26,54000,54
77,Female,45,54000,53
78,Male,40,54000,48
79,Female,23,54000,52
80,Female,49,54000,42
81,Male,57,54000,51
82,Male,38,54000,55
83,Male,67,54000,41
84,Female,46,54000,44
85,Female,21,54000,57
86,Male,48,54000,46
87,Female,55,57000,58
88,Female,22,57000,55
89,Female,34,58000,60
90,Female,50,58000,46
91,Female,68,59000,55
92,Male,18,59000,41
93,Male,48,60000,49
94,Female,40,60000,40
95,Female,32,60000,42
96,Male,24,60000,52
97,Female,47,60000,47
98,Female,27,60000,50
99,Male,48,61000,42
100,Male,20,61000,49
101,Female,23,62000,41
102,Female,49,62000,48
103,Male,67,62000,59
104,Male,26,62000,55
105,Male,49,62000,56
106,Female,21,62000,42
107,Female,66,63000,50
108,Male,54,63000,46
109,Male,68,63000,43
110,Male,66,63000,48
111,Male,65,63000,52
112,Female,19,63000,54
113,Female,38,64000,42
114,Male,19,64000,46
115,Female,18,65000,48
116,Female,19,65000,50
117,Female,63,65000,43
118,Female,49,65000,59
119,Female,51,67000,43
120,Female,50,67000,57
121,Male,27,67000,56
122,Female,38,67000,40
123,Female,40,69000,58
124,Male,39,69000,91
125,Female,23,70000,29
126,Female,31,70000,77
127,Male,43,71000,35
128,Male,40,71000,95
129,Male,59,71000,11
130,Male,38,71000,75
131,Male,47,71000,9
132,Male,39,71000,75
133,Female,25,72000,34
134,Female,31,72000,71
135,Male,20,73000,5
136,Female,29,73000,88
137,Female,44,73000,7
138,Male,32,73000,73
139,Male,19,74000,10
140,Female,35,74000,72
141,Female,57,75000,5
142,Male,32,75000,93
143,Female,28,76000,40
144,Female,32,76000,87
145,Male,25,77000,12
146,Male,28,77000,97
147,Male,48,77000,36
148,Female,32,77000,74
149,Female,34,78000,22
150,Male,34,78000,90
151,Male,43,78000,17
152,Male,39,78000,88
153,Female,44,78000,20
154,Female,38,78000,76
155,Female,47,78000,16
156,Female,27,78000,89
157,Male,37,78000,1
158,Female,30,78000,78
159,Male,34,78000,1
160,Female,30,78000,73
161,Female,56,79000,35
162,Female,29,79000,83
163,Male,19,81000,5
164,Female,31,81000,93
165,Male,50,85000,26
166,Female,36,85000,75
167,Male,42,86000,20
168,Female,33,86000,95
169,Female,36,87000,27
170,Male,32,87000,63
171,Male,40,87000,13
172,Male,28,87000,75
173,Male,36,87000,10
174,Male,36,87000,92
175,Female,52,88000,13
176,Female,30,88000,86
177,Male,58,88000,15
178,Male,27,88000,69
179,Male,59,93000,14
180,Male,35,93000,90
181,Female,37,97000,32
182,Female,32,97000,86
183,Male,46,98000,15
184,Female,29,98000,88
185,Female,41,99000,39
186,Male,30,99000,97
187,Female,54,101000,24
188,Male,28,101000,68
189,Female,41,103000,17
190,Female,36,103000,85
191,Female,34,103000,23
192,Female,32,103000,69
193,Male,33,113000,8
194,Female,38,113000,91
195,Female,47,120000,16
196,Female,35,120000,79
197,Female,45,126000,28
198,Male,32,126000,74
199,Male,32,137000,18
200,Male,30,137000,83
