Customer ID,Food ID
688,10
813,7
495,10
189,5
267,3
310,5
761,2
443,5
729,9
741,8
847,6
156,10
550,7
620,10
272,4
511,2
8,6
534,7
909,6
732,9
372,4
713,1
496,3
381,9
13,2
101,4
325,7
674,2
564,8
578,5
21,4
755,7
509,7
639,2
170,2
668,3
321,3
629,2
767,6
799,7
253,8
473,1
537,5
343,5
761,3
922,1
780,6
198,10
937,10
479,3
706,7
281,6
726,7
343,2
277,3
969,3
543,4
275,8
787,7
424,4
612,6
379,9
647,1
942,3
528,10
673,4
853,3
111,3
736,8
503,8
445,6
580,10
670,6
359,6
132,8
819,5
829,6
928,10
592,5
163,10
694,7
98,5
791,2
398,5
709,4
56,3
397,1
239,6
304,3
893,3
581,1
693,3
827,4
815,6
574,9
752,10
596,8
489,9
792,4
861,1
303,9
548,9
517,2
784,6
621,6
529,10
204,10
136,1
994,2
186,3
253,7
859,7
496,8
423,2
211,4
884,7
81,10
437,10
526,1
951,5
508,4
236,5
127,1
198,7
877,10
816,2
666,9
415,5
24,8
720,1
240,2
919,8
459,1
938,10
46,6
458,9
630,6
75,4
287,5
927,4
522,8
805,8
365,6
257,1
957,10
692,4
547,10
798,5
913,2
35,8
968,4
222,10
122,2
73,8
653,9
937,2
171,2
193,2
668,9
996,10
222,10
70,2
77,7
743,8
589,4
867,10
831,4
905,1
977,7
746,10
922,2
866,9
746,10
495,6
486,6
55,9
312,2
604,3
122,10
936,9
503,9
628,7
55,4
858,5
175,6
530,7
850,10
681,10
750,6
578,5
287,8
39,10
458,3
30,4
827,10
462,8
361,6
27,4
234,1
570,8
751,2
463,10
253,5
633,1
622,9
959,4
810,2
80,4
155,3
488,2
482,1
495,2
188,8
861,5
305,2
869,7
131,1
520,7
208,4
145,5
495,2
794,6
734,10
540,3
735,2
940,8
571,7
888,2
664,6
343,7
143,4
505,3
54,8
959,2
367,8
883,8
251,9
855,4
233,3
559,10
734,1
677,3
276,4
45,8
945,4
783,10
556,10
547,9
252,9
249,6
