Customer ID,Food ID
537,9
97,4
658,1
202,2
155,9
213,8
600,1
503,5
71,3
174,3
961,9
966,5
641,4
288,2
149,4
954,2
147,9
155,1
550,6
101,7
549,6
75,6
78,7
514,5
833,7
329,8
586,10
341,1
519,10
680,9
419,7
20,1
822,6
226,10
203,2
77,1
628,4
296,9
821,9
697,8
264,7
477,9
524,4
121,3
290,7
100,1
260,6
798,9
462,3
896,7
953,1
682,10
809,7
450,10
772,7
304,3
159,6
189,4
876,2
864,8
799,8
68,6
812,8
30,2
921,2
941,6
108,3
315,4
358,10
249,9
491,9
110,8
737,3
836,6
749,9
758,8
527,3
677,10
741,3
540,3
433,7
250,10
504,1
819,4
910,7
351,10
282,7
117,5
937,10
63,6
144,2
393,7
380,7
515,7
233,3
357,3
3,2
875,2
352,6
93,3
323,1
21,4
64,10
912,10
327,6
399,2
459,6
418,7
669,3
259,9
816,7
761,9
410,7
304,2
772,10
80,2
363,9
504,5
728,6
71,8
479,6
922,1
244,2
319,9
909,1
919,10
51,2
26,9
472,8
77,9
608,6
160,5
645,8
574,10
374,4
100,7
762,8
45,7
332,7
338,10
140,8
567,2
602,1
10,2
77,2
74,1
1000,2
529,7
881,5
673,7
107,2
876,8
703,1
225,10
962,1
114,5
250,7
346,4
191,2
331,2
310,2
738,9
427,7
331,5
902,6
867,9
385,5
555,9
67,7
138,4
775,5
833,3
648,5
475,10
483,6
968,1
203,3
313,9
263,8
871,5
747,5
38,4
190,9
348,6
226,3
167,9
671,8
190,1
909,4
501,6
406,2
47,8
482,3
163,1
991,2
539,6
53,2
51,10
348,9
321,1
493,9
650,9
310,1
848,6
307,9
798,1
606,7
100,4
783,6
985,5
123,6
809,10
21,4
764,9
92,1
386,6
331,3
62,5
91,8
368,6
147,8
745,4
184,3
828,8
578,5
491,4
62,4
77,9
506,9
271,9
584,10
148,5
595,3
274,10
646,1
520,8
644,8
725,8
934,4
151,10
945,5
343,3
380,9
911,4
621,9
413,9
926,6
134,3
396,6
535,10
